ID_Data,Data_Completa,Ano,Mes,Dia,Nome_Mes,Trimestre
1,2023-01-01,2023,1,1,Janeiro,T1
2,2023-01-02,2023,1,2,Janeiro,T1
3,2023-01-03,2023,1,3,Janeiro,T1
4,2023-01-04,2023,1,4,Janeiro,T1
5,2023-01-05,2023,1,5,Janeiro,T1
6,2023-01-06,2023,1,6,Janeiro,T1
7,2023-01-07,2023,1,7,Janeiro,T1
8,2023-01-08,2023,1,8,Janeiro,T1
9,2023-01-09,2023,1,9,Janeiro,T1
10,2023-01-10,2023,1,10,Janeiro,T1
11,2023-01-11,2023,1,11,Janeiro,T1
12,2023-01-12,2023,1,12,Janeiro,T1
13,2023-01-13,2023,1,13,Janeiro,T1
14,2023-01-14,2023,1,14,Janeiro,T1
15,2023-01-15,2023,1,15,Janeiro,T1
16,2023-01-16,2023,1,16,Janeiro,T1
17,2023-01-17,2023,1,17,Janeiro,T1
18,2023-01-18,2023,1,18,Janeiro,T1
19,2023-01-19,2023,1,19,Janeiro,T1
20,2023-01-20,2023,1,20,Janeiro,T1
21,2023-01-21,2023,1,21,Janeiro,T1
22,2023-01-22,2023,1,22,Janeiro,T1
23,2023-01-23,2023,1,23,Janeiro,T1
24,2023-01-24,2023,1,24,Janeiro,T1
25,2023-01-25,2023,1,25,Janeiro,T1
26,2023-01-26,2023,1,26,Janeiro,T1
27,2023-01-27,2023,1,27,Janeiro,T1
28,2023-01-28,2023,1,28,Janeiro,T1
29,2023-01-29,2023,1,29,Janeiro,T1
30,2023-01-30,2023,1,30,Janeiro,T1
31,2023-01-31,2023,1,31,Janeiro,T1
32,2023-02-01,2023,2,1,Fevereiro,T1
33,2023-02-02,2023,2,2,Fevereiro,T1
34,2023-02-03,2023,2,3,Fevereiro,T1
35,2023-02-04,2023,2,4,Fevereiro,T1
36,2023-02-05,2023,2,5,Fevereiro,T1
37,2023-02-06,2023,2,6,Fevereiro,T1
38,2023-02-07,2023,2,7,Fevereiro,T1
39,2023-02-08,2023,2,8,Fevereiro,T1
40,2023-02-09,2023,2,9,Fevereiro,T1
41,2023-02-10,2023,2,10,Fevereiro,T1
42,2023-02-11,2023,2,11,Fevereiro,T1
43,2023-02-12,2023,2,12,Fevereiro,T1
44,2023-02-13,2023,2,13,Fevereiro,T1
45,2023-02-14,2023,2,14,Fevereiro,T1
46,2023-02-15,2023,2,15,Fevereiro,T1
47,2023-02-16,2023,2,16,Fevereiro,T1
48,2023-02-17,2023,2,17,Fevereiro,T1
49,2023-02-18,2023,2,18,Fevereiro,T1
50,2023-02-19,2023,2,19,Fevereiro,T1
51,2023-02-20,2023,2,20,Fevereiro,T1
52,2023-02-21,2023,2,21,Fevereiro,T1
53,2023-02-22,2023,2,22,Fevereiro,T1
54,2023-02-23,2023,2,23,Fevereiro,T1
55,2023-02-24,2023,2,24,Fevereiro,T1
56,2023-02-25,2023,2,25,Fevereiro,T1
57,2023-02-26,2023,2,26,Fevereiro,T1
58,2023-02-27,2023,2,27,Fevereiro,T1
59,2023-02-28,2023,2,28,Fevereiro,T1
60,2023-03-01,2023,3,1,Março,T1
61,2023-03-02,2023,3,2,Março,T1
62,2023-03-03,2023,3,3,Março,T1
63,2023-03-04,2023,3,4,Março,T1
64,2023-03-05,2023,3,5,Março,T1
65,2023-03-06,2023,3,6,Março,T1
66,2023-03-07,2023,3,7,Março,T1
67,2023-03-08,2023,3,8,Março,T1
68,2023-03-09,2023,3,9,Março,T1
69,2023-03-10,2023,3,10,Março,T1
70,2023-03-11,2023,3,11,Março,T1
71,2023-03-12,2023,3,12,Março,T1
72,2023-03-13,2023,3,13,Março,T1
73,2023-03-14,2023,3,14,Março,T1
74,2023-03-15,2023,3,15,Março,T1
75,2023-03-16,2023,3,16,Março,T1
76,2023-03-17,2023,3,17,Março,T1
77,2023-03-18,2023,3,18,Março,T1
78,2023-03-19,2023,3,19,Março,T1
79,2023-03-20,2023,3,20,Março,T1
80,2023-03-21,2023,3,21,Março,T1
81,2023-03-22,2023,3,22,Março,T1
82,2023-03-23,2023,3,23,Março,T1
83,2023-03-24,2023,3,24,Março,T1
84,2023-03-25,2023,3,25,Março,T1
85,2023-03-26,2023,3,26,Março,T1
86,2023-03-27,2023,3,27,Março,T1
87,2023-03-28,2023,3,28,Março,T1
88,2023-03-29,2023,3,29,Março,T1
89,2023-03-30,2023,3,30,Março,T1
90,2023-03-31,2023,3,31,Março,T1
91,2023-04-01,2023,4,1,Abril,T2
92,2023-04-02,2023,4,2,Abril,T2
93,2023-04-03,2023,4,3,Abril,T2
94,2023-04-04,2023,4,4,Abril,T2
95,2023-04-05,2023,4,5,Abril,T2
96,2023-04-06,2023,4,6,Abril,T2
97,2023-04-07,2023,4,7,Abril,T2
98,2023-04-08,2023,4,8,Abril,T2
99,2023-04-09,2023,4,9,Abril,T2
100,2023-04-10,2023,4,10,Abril,T2
101,2023-04-11,2023,4,11,Abril,T2
102,2023-04-12,2023,4,12,Abril,T2
103,2023-04-13,2023,4,13,Abril,T2
104,2023-04-14,2023,4,14,Abril,T2
105,2023-04-15,2023,4,15,Abril,T2
106,2023-04-16,2023,4,16,Abril,T2
107,2023-04-17,2023,4,17,Abril,T2
108,2023-04-18,2023,4,18,Abril,T2
109,2023-04-19,2023,4,19,Abril,T2
110,2023-04-20,2023,4,20,Abril,T2
111,2023-04-21,2023,4,21,Abril,T2
112,2023-04-22,2023,4,22,Abril,T2
113,2023-04-23,2023,4,23,Abril,T2
114,2023-04-24,2023,4,24,Abril,T2
115,2023-04-25,2023,4,25,Abril,T2
116,2023-04-26,2023,4,26,Abril,T2
117,2023-04-27,2023,4,27,Abril,T2
118,2023-04-28,2023,4,28,Abril,T2
119,2023-04-29,2023,4,29,Abril,T2
120,2023-04-30,2023,4,30,Abril,T2
121,2023-05-01,2023,5,1,Maio,T2
122,2023-05-02,2023,5,2,Maio,T2
123,2023-05-03,2023,5,3,Maio,T2
124,2023-05-04,2023,5,4,Maio,T2
125,2023-05-05,2023,5,5,Maio,T2
126,2023-05-06,2023,5,6,Maio,T2
127,2023-05-07,2023,5,7,Maio,T2
128,2023-05-08,2023,5,8,Maio,T2
129,2023-05-09,2023,5,9,Maio,T2
130,2023-05-10,2023,5,10,Maio,T2
131,2023-05-11,2023,5,11,Maio,T2
132,2023-05-12,2023,5,12,Maio,T2
133,2023-05-13,2023,5,13,Maio,T2
134,2023-05-14,2023,5,14,Maio,T2
135,2023-05-15,2023,5,15,Maio,T2
